"Number","Word","Transliteration","Grammar","Russian","Example"
76,漂亮,piàoliɑng,прил.,красивый,你的衣服真~。
77,苹果,píngguǒ,сущ.,яблоко,你想不想吃个~?
78,七,qī,числ.,семь,一个星期有~天。
79,钱,qián,сущ.,деньги,一个苹果三块~。
80,前面,qiánmiàn,сущ.,"впереди, перед",~那个人是我的同学。
81,请,qǐng,гл.,пожалуйста,~坐在椅子上。
"",,гл.,просить,我去~老师帮忙。,
"",,гл.,приглашать,他想~我吃饭。,
82,去,qù,гл.,поехать или пойти куда-либо,我星期三~中国。
"",,гл.,"ставится после глагола и обозначает
направление",小猫跑到房间里~了。,
"",,гл.,удалить,"把这个字~掉,这个句子就对了。",
83,热,rè,прил.,горячий,今天很~。
"",,гл.,"нагревать, подогревать",我去~一下米饭。,
84,人,rén,сущ.,человек,商店里有很多~。
85,认识,rènshi,гл.,"знакомиться, быть знакомыми",~你很高兴。
86,三,sān,числ.,три,我有~本书。
87,商店,shāngdiàn,сущ.,магазин,她去~买东西了。
88,上,shàng,сущ.,"над, выше, на верху",水果在桌子~。
"",,гл.,быть где-либо в установленное время,我们八点去~学。,
"",,гл.,подниматься,我们坐电梯~楼。,
89,上午,shàngwǔ,сущ.,первая половина дня,现在是~10 点。
90,少,shǎo,прил.,мало,杯子里的水很~。
"",,,гл.,"не хватать, не доставать",我还~本书。
91,谁,shéi,мест.,кто,那个人是~?
92,什么,shénme,мест.,что,你看见了~?
"",,мест.,"указывает на неопределенное действие или
при нежелании точно назвать его","你真棒,~都会!",
93,十,shí,числ.,десять,现在是~月。
94,时候,shíhou,сущ.,"время, период","我回家的~,他在睡觉。"
95,是,shì,гл.,быть,他不~学生。
"",,гл.,да,"甲:你是中国人吗?
乙:~,我是中国人。",
96,书,shū,сущ.,книга,我喜欢读~。
97,水,shuǐ,сущ.,вода,杯子里还有~吗?
98,水果,shuǐguǒ,сущ.,фрукты,我想去商店买~。
99,睡觉,shuìjiào,гл.,"спать, ложиться спать",儿子在~呢。
100,说,shuō,гл.,говорить,你在~什么?
101,说话,shuōhuà,гл.,говорить,他们在~。
102,四,sì,числ.,четыре,我们~个人去看电影。
