"Number","Word","Transliteration","Grammar","Russian","Example"
339,出现,chūxiàn,гл.,появляться,"我们等了他一个小时,他也没有~。
我们工作中~了不少问题。"
340,除了,chúle,пред.,не включая,"~小王,其他人都来了。"
341,船,chuán,сущ.,"корабль, лодка",你可以坐~去上海。
342,春,chūn,сущ.,весна,~天是一年的开始。
343,词典,cídiǎn,сущ.,словарь,这本~对我的学习很有帮助。
344,聪明,cōngming,прил.,умный,"弟弟不但很~,而且很爱学习。"
345,打扫,dǎsǎo,гл.,"убираться, наводить чистоту",我准备周末把房间~一下。
346,打算,dǎsuàn,гл.,планировать,我~下个星期去旅游。
"",,,сущ.,план,我还没有结婚的~。
347,带,dài,гл.,брать с собой,我今天忘记~钱包了。
348,担心,dānxīn,гл.,опасаться,"爷爷住院了,我很~。"
349,蛋糕,dàngāo,сущ.,"пирожное, торт",你饿了吗?先吃块~吧。
350,当然,dāngrán,нар.,конечно,"你生病了,我~要来看看你。"
351,灯,dēng,сущ.,лампа,房间里的~怎么不亮了?
352,地,de,служ.,"вспомогательная частица, обозначающая
состояние или способ действия",天慢慢~黑了。
353,地方,dìfang,сущ.,место,这个~我来过三次了。
354,地铁,dìtiě,сущ.,метро,"我们先坐三站~,再走一会儿就到了。"
355,地图,dìtú,сущ.,карта,我的手机上有电子~。
356,电梯,diàntī,сущ.,"лифт, эскалатор",我们坐~上去吧。
357,电子邮件,diànzǐyóujiàn,сущ.,электронная почта,我晚上再给你发个~。
358,东,dōng,сущ.,восток,你一直向~走就到了。
359,冬,dōng,сущ.,зима,北方的~天很冷。
360,动物园,dòngwùyuán,сущ.,зоопарк,~里有一百多种动物。
361,短,duǎn,прил.,короткий,这件事在~时间内很难做完。
362,段,duàn,сч. сл.,отрезок,这~时间我很忙。
363,锻炼,duànliàn,гл.,"закалять здоровье, тренироваться",我每天早上都去~身体。
364,多么,duōme,нар.,"как (применяется для выражения
восклицания)",这里~漂亮啊!
365,饿,è,прил.,голодный,"我~了,想吃点东西。"
366,耳朵,ěrduo,сущ.,уши,"我的~有点疼,要去医院看看。"
367,发,fā,гл.,посылать,你给我~电子邮件了吗?
368,发烧,fāshāo,гл.,иметь высокую температуру,"我身体不舒服,~了。"
369,发现,fāxiàn,гл.,обнаруживать,我~他瘦了很多。
370,方便,fāngbiàn,прил.,удобно,我坐地铁去上班很~。
371,放,fàng,гл.,положить,把书~在桌子上吧。
372,放心,fàngxīn,гл.,быть спокойным за что-либо или кого-либо,"请~,我会把事情办好的。"
373,分,fēn,числ.,минута,现在 8 点 30~。
"",,сущ.,"отметка, балл (на экзамене)","这次考试,我得了 85~。",
"",,гл.,разделять,这个苹果被~成了两块儿。,
374,附近,fùjìn,сущ.,"рядом, поблизости",他家就住在公司~。
375,复习,fùxí,гл.,повторять,考试前要好好地~。
376,干净,gānjìng,прил.,чистый,我把衣服洗~了。
377,感冒,gǎnmào,гл.,простужаться,"我~了,要吃点儿药。"
378,感兴趣,gǎnxìngqù,,интересоваться,小王对音乐很~。
379,刚才,gāngcái,сущ.,только что,~是谁来的电话?
380,个子,gèzi,сущ.,рост (человека),哥哥比我~高。
381,根据,gēnjù,пред.,на основании,请~这篇文章谈一谈自己的想法。
сущ.,"основания, аргументация","他这么说,是有~的。",,,
382,跟,gēn,гл.,следовать за,"散步的时候,小狗一直~在我身后。"
"",,,пред.,вместе с,姐姐~妈妈一起去公园了。
383,更,gèng,нар.,еще более,他比我~喜欢游泳。
384,公斤,gōngjīn,сч. сл.,килограмм,我买了一~鸡蛋。
385,公园,gōngyuán,сущ.,парк,"我家附近有个~,我常去那里散步。"
386,故事,gùshi,сущ.,"история, рассказ","睡觉前,我都给女儿讲~。"
387,刮风,guāfēng,,дует ветер,"今天~了,别骑自行车了。"
388,关,guān,гл.,"закрывать, выключать","他~上了门。
我把电视~了。"
389,关系,guānxì,сущ.,отношения,这件事和她没有~。
390,关心,guānxīn,гл.,заботиться,爸爸很~我的学习。
"",,,сущ.,забота,"谢谢你的~,我的身体好多了。"
391,关于,guānyú,пред.,о,"~这个问题,我们还要再想一想。"
392,国家,guójiā,сущ.,"государство, страна","我爱旅游,去过几十个~。"
393,过,guò,гл.,"проводить, отмечать","今天我~生日,朋友们都来了。"
"",,,гл.,проходить (о времени),"时间~得真快,要过春节了。"
394,过去,guòqù,сущ.,в прошлом,奶奶经常给我讲~的事情。
395,还是,háishì,нар.,"еще, по-прежнему","我~在北京,没去其他地方。"
"",,,нар.,употребляется при внесении предложения,"你~吃点儿水果吧,别喝啤酒了。"
"",,,нар.,употребляется при выборе,你是开车去~坐公共汽车去?
396,害怕,hàipà,гл.,"бояться, опасаться",我~一个人晚上出门。
397,航班,hángbān,сущ.,рейс,"各位顾客,欢迎您乘坐我们的~。"
398,黑板,hēibǎn,сущ.,классная доска,请大家看~。
399,后来,hòulái,нар.,позже,~我再也没见过他。
400,护照,hùzhào,сущ.,паспорт,你的~办好了吗?
401,花,huā,гл.,"тратить, расходовать",今天我~了不少钱。
402,花,huā,сущ.,цветы,"今天是妈妈的生日,我们送一些~给她吧。"
403,画,huà,гл.,"рисовать, писать картины",我从小就喜欢~画儿。
"",,сущ.,"рисунок, картина",他的~儿很受大家欢迎。,
404,坏,huài,прил.,"плохой, испортившийся","面包很新鲜,没有~。"
"",,воскл.,плохо,"~了,我忘记带护照了。",
405,还,huán,гл.,возвращать,我把书~给图书馆了。
406,环境,huánjìng,сущ.,"обстановка, окружение","这里的~很不错,在这里住很舒服。"
407,换,huàn,гл.,менять,"你等我一下,我去~件衣服。"
"",,гл.,"менять, разменивать деньги",我去银行~点儿钱。,
408,黄河,Huánghé,сущ.,"Желтая река, Хуанхэ",~是中国的第二大河。
409,会议,huìyì,сущ.,"собрание, совещание",我们下午有个~。
410,或者,huòzhě,союз,или,"你去,~我去,都可以。"
411,几乎,jīhū,нар.,"около, почти",我感动得~要流泪了。
412,机会,jīhuì,сущ.,"случай, возможности",我希望有~参加比赛。
413,极,jí,нар.,"чрезвычайно, экстремально","他对音乐~感兴趣。
今天的节目好看~了。"
414,记得,jìde,гл.,помнить,我不~他住在哪儿了。
415,季节,jìjié,сущ.,сезон,一年有四个~。
416,检查,jiǎnchá,гл.,"проверка, инспекция",你去医院~一下身体吧。
417,简单,jiǎndān,прил.,"легко, просто",这些题对他来说很~。
418,见面,jiànmiàn,гл.,встречаться,"上次和他~,已经是去年了。"
419,健康,jiànkāng,прил.,здоровый,爸爸的身体特别~。
420,讲,jiǎng,гл.,"рассказывать, говорить",李老师的课~得很有趣。
421,降落,jiàngluò,гл.,"опускаться, спускаться",飞机马上就要~了。
422,角,jiǎo,сч. сл.,цзяо (0.1 юаня),桌子上有五~钱。
"",,сущ.,угол,房间的一~放了很多书。,
423,脚,jiǎo,сущ.,ступни ног,妹妹~上穿着漂亮的红皮鞋。
424,教,jiāo,гл.,"учить, обучать",李老师~我们数学。
425,接,jiē,гл.,"принимать, встречать",下午我去机场~你。
"",,гл.,"дальше, затем","他看了看表,躺下~着睡觉。",
426,街道,jiēdào,сущ.,улица,"这条~很长,有四千多米。"
427,节目,jiémù,сущ.,номер (в художественном представлении),今天我们一共演出 12 个~。
428,节日,jiérì,сущ.,праздник,祝大家~快乐!
429,结婚,jiéhūn,гл.,"жениться, выйти замуж",我们~10 年了。
430,结束,jiéshù,гл.,закончиться,会议马上就要~了。
431,解决,jiějué,гл.,решать (проблему),这个问题你打算怎么~?
432,借,jiè,гл.,занимать,我从图书馆~了三本书。
433,经常,jīngcháng,нар.,часто,我~在学校遇到他。
434,经过,jīngguò,гл.,"проходить, проезжать мимо","上下班的时候,我都要~这条街道。"
"",,пред.,через,"~你这么一说,我终于明白了。",
435,经理,jīnglǐ,сущ.,"менеджер, директор",他是我们公司的~。
436,久,jiǔ,прил.,долгий,这个问题我想了很~才明白。
437,旧,jiù,прил.,старый (о вещах),"这件衣服穿了两年,已经~了。"
438,句子,jùzi,сущ.,предложение (в грамматике),请用这些词语说几个~。
439,决定,juédìng,гл.,решать,这件事是经理~的。
"",,сущ.,решение,他已经做出了~。,
440,可爱,kě’ài,прил.,"симпатичный, милый",你的儿子真~。
441,渴,kě,прил.,испытывающий жажду,"我~了,想喝点儿水。"
442,刻,kè,сущ.,четверть часа,现在是三点一~。
443,客人,kèrén,сущ.,гость,"春节的时候,家里会来很多~。"
444,空调,kōngtiáo,сущ.,кондиционер,"太热了,请把~打开。"
445,口,kǒu,сч. сл.,употребляется при счете людей или животных,我们家一共三~人。
"",,сущ.,рот,"想学好外语,要多开~说。",
446,哭,kū,гл.,плакать,孩子又~了起来。
447,裤子,kùzi,сущ.,"брюки, штаны",这条~有点儿短。
448,筷子,kuàizi,сущ.,палочки (для еды),"我来中国 1 个月了,已经会用~了。"
449,蓝,lán,прил.,"синий, голубой",这条~裙子你喜欢吗?
450,老,lǎo,прил.,"старый, пожилой","爷爷六十岁了,但是看起来一点儿也不~。"
451,离开,líkāi,гл.,уезжать,"下个月我要~一段时间,你好好照顾自己。"
452,礼物,lǐwù,сущ.,подарок,"过生日的时候,我收到了很多~。"
453,历史,lìshǐ,сущ.,история,这个房子差不多有 300 年的~了。
454,脸,liǎn,сущ.,лицо,"女儿的~圆圆的,很可爱。"
455,练习,liànxí,гл.,упражняться,"学过的东西,要多~才能记住。"
"",,,сущ.,упражнение,"同学们,下面我们开始做~。"
456,辆,liàng,сч. сл.,"употребляется при счете наземных
транспортных средств","这~车,是我新买的。"
457,聊天,liáotiān,гл.,болтать,我们经常在网上~。
458,了解,liǎojiě,гл.,узнавать,我对她~得不多。
459,邻居,línjū,сущ.,сосед,我跟~们的关系非常好。
460,留学,liúxué,гл.,учиться за рубежом,我哥哥在中国~。
461,楼,lóu,сущ.,здание,我在你家~下等你。
462,绿,lǜ,прил.,зеленый,"春天来了,树和草都~了。"
463,马,mǎ,сущ.,лошадь,我们学会骑~了。
464,马上,mǎshàng,нар.,сию минуту,"我~就到学校,你再等我几分钟。"
465,满意,mǎnyì,гл.,"быть довольным, удовлетворенным",经理对他很~。
466,帽子,màozi,сущ.,"шапка, шляпа, головной убор","这个~太小了,有大一点儿的吗?"
467,米,mǐ,сч. сл.,метр,这张桌子有两~长。
468,面包,miànbāo,сущ.,хлеб,~已经卖完了。
469,面条,miàntiáo,сущ.,лапша,"服务员,我要一碗~。"
470,明白,míngbai,гл.,понимать,我~你的意思了。
"",,прил.,"четко, ясно","他说得很~,我懂了。",
471,拿,ná,гл.,брать (рукой),你手里~的是什么?
472,奶奶,nǎinɑi,сущ.,бабушка со стороны отца,我~住在北京。
473,南,nán,сущ.,юг,我家在火车站的~边。
474,难,nán,прил.,трудный,这个题很~。
475,难过,nánguò,гл.,"страдать, переживать","他要离开了,我很~。"
476,年级,niánjí,сущ.,"класс, курс",我儿子现在上三~。
477,年轻,niánqīng,прил.,молодой,"妈妈 50 岁了,看起来还很~。"
478,鸟,niǎo,сущ.,птица,树上有很多~在唱歌。
479,努力,nǔlì,прил.,старательный,学生们学习很~。
480,爬山,páshān,гл.,подниматься в горы,我们决定明天去~。
481,盘子,pánzi,сущ.,тарелка,"~里有鱼,请吃吧。"
482,胖,pàng,прил.,толстый,"熊猫很~,很可爱。"
"",,гл.,толстеть,这个月我~了五斤多。,
483,皮鞋,píxié,сущ.,кожаная обувь,他穿着一双黑色的~。
484,啤酒,píjiǔ,сущ.,пиво,爸爸爱喝~。
485,普通话,pǔtōnghuà,сущ.,"путунхуа, нормативный китайский язык",你的~说得很好。
486,其实,qíshí,нар.,на самом деле,我~不太了解他。
487,其他,qítā,мест.,другой,"只有小明在教室里,~人都回家了。"
488,奇怪,qíguài,прил.,странный,我觉得这个问题很~。
489,骑,qí,гл.,ехать верхом или на велосипеде,今天我~自行车去学校。
490,起飞,qǐfēi,гл.,взлетать,"各位乘客,飞机马上就要~了。"
491,清楚,qīngchu,прил.,понятный,他把这件事儿说得很~了。
"",,,гл.,понимать,你~这句话的意思吗?
492,秋,qiū,сущ.,осень,"~天最舒服,不冷也不热。"
493,裙子,qúnzi,сущ.,юбка,姐姐穿着漂亮的~。
494,然后,ránhòu,союз,"после, потом, затем","我要先写完作业,~再看电视。"
495,热情,rèqíng,прил.,приветливый,我们~地欢迎客人。
496,认为,rènwéi,гл.,"считать, думать",你~他会来吗?
497,认真,rènzhēn,прил.,"серьезный, тщательный","这个同学学习很~,很努力。"
498,容易,róngyì,прил.,легкий,这个问题很~回答。
499,如果,rúguǒ,союз,если,"~你去,我就和你一起去。"
500,伞,sǎn,сущ.,зонт,"下雨了,别忘了带~。"
501,上网,shàngwǎng,гл.,входить в сеть,我~去看看新闻。
502,生气,shēngqì,гл.,сердиться,"请别~,是我错了,对不起。"
503,声音,shēngyīn,сущ.,"звук, голос","你听,这是什么~?"
504,世界,shìjiè,сущ.,мир,~上有很多国家。
505,试,shì,гл.,пробовать,我想~一下那件红色的。
506,瘦,shòu,прил.,худой,"姐姐现在很~,只有 45 公斤。"
"",,,гл.,худеть,这个月我~了三斤。
507,叔叔,shūshu,сущ.,"дядя, (брат отца или обращение по
отношению к мужчине, примерно возраста
отца)","~,你喜欢这本书吗?"
508,舒服,shūfu,прил.,"уютный, комфортабельный","坐在这里,真~。"
509,树,shù,сущ.,дерево,我们学校里有很多~。
510,数学,shùxué,сущ.,математика,我的~成绩很好。
511,刷牙,shuāyá,гл.,чистить зубы,睡觉前要~。
512,双,shuāng,сч. сл.,пара,我今天想去买~鞋。
513,水平,shuǐpíng,сущ.,уровень,他的汉语~很高。
514,司机,sījī,сущ.,шофер,这位~开出租车 5 年多了。
515,太阳,tàiyáng,сущ.,солнце,"你看,~出来了。"
516,特别,tèbié,нар.,"очень, особенно",我~想跟你一起去。
"",,,прил.,"другой,. особый",这个菜的做法很~。
517,疼,téng,прил.,болит,我的腿有点儿~。
518,提高,tígāo,гл.,"поднять, повысить",你数学成绩~了不少。
"",,,сущ.,прогресс,人们的生活水平有了很大的~。
519,体育,tǐyù,сущ.,спорт,我很喜欢~运动。
520,甜,tián,прил.,сладкий,这个西瓜真~啊!
521,条,tiáo,сч. сл.,длинный,这~裤子有点儿长。
522,同事,tóngshì,сущ.,коллега,"这是我们的新~,李华。"
523,同意,tóngyì,гл.,соглашаться,我不太~他的想法。
524,头发,tóufɑ,сущ.,волосы,妈妈的~又黑又亮。
525,突然,tūrán,прил.,внезапно,他~站了起来。
"",,нар.,вдруг,小狗~跑了出来。,
526,图书馆,túshūguǎn,сущ.,библиотека,我从~借来了两本书。
527,腿,tuǐ,сущ.,нога,你的~还疼吗?
528,完成,wánchéng,гл.,завершать,"这件事,在周末前必须~。"
529,碗,wǎn,сущ.,"чашка, пиала",把米饭放在这个~里吧。
"",,сч. сл.,чашка (при мере сыпучих или жидких тел),我吃一~就可以了。,
530,万,wàn,числ.,десять тысяч,我们学校有一~名学生。
531,忘记,wàngjì,гл.,забывать,我~今天是他的生日了。
532,为,wèi,пред.,для,这些菜都是~你准备的。
533,为了,wèile,пред.,"для, во имя","~身体健康,我每天都去运动。"
534,位,wèi,сч. сл.,употребляется при счете людей,他真是一~好老师。
535,文化,wénhuà,сущ.,"культура, цивилизация",我对中国~很感兴趣。
536,西,xī,сущ.,запад,"火车站在~边,你走错了。"
537,习惯,xíguàn,гл.,привыкать,他已经~了一个人生活。
сущ.,привычка,饭前洗手是好~。,,,
538,洗手间,xǐshǒujiān,сущ.,туалет,我去一下~。
539,洗澡,xǐzǎo,гл.,"мыться, принимать душ","太热了,我先去~。"
540,夏,xià,сущ.,лето,今年~天太热了。
541,先,xiān,нар.,первым,"你~去,我一个小时后再去。"
542,相信,xiāngxìn,гл.,верить,我完全~你说的话。
543,香蕉,xiāngjiāo,сущ.,банан,你想吃~吗?
544,向,xiàng,пред.,по направлению к,"~东走,就可以看到那个学校了。"
545,像,xiàng,гл.,быть похожим,他长得~他爸爸。
"",,пред.,"такой, как","~校长这样的人,到哪里都很受欢迎。",
546,小心,xiǎoxīn,гл.,"обращать внимание, быть осторожным","请~,路上有很多水。"
"",,прил.,осторожный,我很~地抱起了小猫。,
547,校长,xiàozhǎng,сущ.,"директор, ректор",~已经同意了我们的计划。
548,新闻,xīnwén,сущ.,"последние известия, новости",我每天晚上七点都看~。
549,新鲜,xīnxiān,прил.,свежий,这些都是~水果。
550,信用卡,xìnyòngkǎ,сущ.,кредитная карта,我想去银行办一张~。
551,行李箱,xínglixiāng,сущ.,чемодан,请把~打开。
552,熊猫,xióngmāo,сущ.,панда,我特别喜欢到动物园去看大~。
553,需要,xūyào,гл.,требоваться,我们~一些帮助。
554,选择,xuǎnzé,гл.,выбирать,今年夏天你~去哪儿旅游?
сущ.,выбор,我们需要自己做出~。,,,
555,要求,yāoqiú,гл.,"просить, требовать",老师~我们把这些题做完。
"",,сущ.,"необходимость, требование",这是爸爸对我的~。,
556,爷爷,yéye,сущ.,"дедушка или мужчина, по возрасту равный
дедушке","~,请您坐这儿吧。"
557,一定,yídìng,нар.,обязательно,"明天的会议,请大家~要参加。"
"",,прил.,определенный,他的汉语已经有~水平了。,
558,一共,yígòng,нар.,"всего, итого",我们班~有 20 名学生。
559,一会儿,yíhuìr,,в один момент,我看~电视就睡觉。
560,一样,yíyàng,прил.,одинаковый,他跟爸爸长得~。
561,一般,yìbān,нар.,обычно,我~7 点钟起床。
562,一边,yìbiān,нар.,"делая что-либо, делать другое одновременно","他喜欢~看书,~听音乐。"
563,一直,yìzhí,нар.,все время,我~不明白这句话的意思。
564,以前,yǐqián,нар.,раньше,"我们看电影~,先去吃个饭吧。"
565,音乐,yīnyuè,сущ.,музыка,她最喜欢看~节目。
566,银行,yínháng,сущ.,банк,~下午 5 点关门。
567,饮料,yǐn liào,сущ.,напиток,冰箱里还有~吗?
568,应该,yīnggāi,всп. гл.,"надо, следует","8点了,~去上班了。"
569,影响,yǐngxiǎng,гл.,влиять,请不要~别人休息。
"",,сущ.,влияние,环境对人有很大的~。,
570,用,yòng,гл.,использовать,我~了两个小时打扫房间。
571,游戏,yóuxì,сущ.,игры,这是孩子们最喜欢玩儿的~。
572,有名,yǒumíng,прил.,известный,这本书很~。
573,又,yòu,нар.,"опять, снова","我们休息了一会儿,~开始工作了。"
574,遇到,yùdào,гл.,встретить,刚才我在街上~了张先生。
575,元,yuán,сущ.,юань,这块手表 600~。
576,愿意,yuànyì,всп. гл.,хотеть,他很~帮助别人。
577,月亮,yuèliɑng,сущ.,луна,今晚的~真圆!
578,越,yuè,нар.,"чем дальше, тем больше",他~说~高兴。
579,站,zhàn,гл.,стоять,爸爸~在我的身边。
"",,сч. сл.,расстояние между автобусными остановками,"去火车站,坐地铁 3~就到了。",
580,张,zhāng,сч. сл.,"употребляется при счете листов бумаги,
кроватей, столов, ртов, лиц",请给我一~纸。
"",,гл.,открывать,"小女孩儿~开嘴,笑了。",
581,照顾,zhàogù,гл.,заботиться,"我生病了,妈妈一直~我。"
"",,сущ.,забота,"这些年,他给了我们很多~。",
582,照片,zhàopiàn,сущ.,фотография,这是我小时候的~。
583,照相机,zhàoxiàngjī,сущ.,фотоаппарат,我新买了一个~。
584,只,zhī,сч. сл.,"употребляется при счете парных предметов
или животных (один из пары)","我有一~鞋找不到了。
树上有一~小猫。"
585,只,zhǐ,нар.,только,房间里~有我一个人。
586,中间,zhōngjiān,сущ.,по середине,"我站在~,旁边的是我的同学。"
587,中文,Zhōngwén,сущ.,китайский язык,我会用~写文章。
588,终于,zhōngyú,нар.,в конце концов,春天~来了。
589,种,zhǒng,сч. сл.,"вид, сорт",超市里有很多~新鲜水果。
590,重要,zhòngyào,прил.,важный,我忘了一件~的事情。
591,周末,zhōumò,сущ.,"конец недели, уикенд",这个~你有什么安排?
592,主要,zhǔyào,прил.,главный,这本书~讲了些什么?
593,注意,zhùyì,гл.,обращать внимание,请~安全。
594,着急,zháojí,гл.,беспокоиться,"遇到事情,不要~。"
595,自己,zìjǐ,мест.,сам,我喜欢~一个人旅游。
596,总是,zǒngshì,нар.,всегда,他~很早起床。
597,嘴,zuǐ,сущ.,рот,妹妹的~边有一粒米。
598,最近,zuìjìn,нар.,в последнее время,我~很忙。
599,作业,zuòyè,сущ.,домашнее задание,今天的~你写完了吗?
600,作用,zuòyòng,сущ.,влияние,这种感冒药对我没什么~。
601,爱情,àiqíng,сущ.,любовь (между мужчиной и женщиной),这是一个感人的~故事。
602,安排,ānpái,гл.,устраивать,"下午的会议,我已经~好了。"
"",,,планирование,他的~让大家都很满意。,
603,安全,ānquán,прил.,безопасно,晚上开车要注意~。
"",,сущ.,безопасность,"请放心,我们会保证您的~。",
604,按时,ànshí,нар.,вовремя,我~完成了任务。
605,按照,ànzhào,пред.,в соответствии,请~要求把报告改一下。
606,百分之,bǎifēnzhī,,процент,任务完成~八十了。
607,棒,bàng,прил.,отличный,你的字写得真~!
608,包子,bāozi,сущ.,паровые пирожки,这家饭馆儿的~味道非常好。
609,保护,bǎohù,гл.,охранять,人们应该~环境。
610,保证,bǎozhèng,гл.,гарантировать,"我~,以后不迟到了。"
"",,сущ.,гарантия,努力是取得成功的~。,
611,报名,bàomíng,гл.,записываться (на конкурс и т.д.),你想~参加运动会吗?
612,抱,bào,гл.,обнимать,他把孩子~了起来。
613,抱歉,bàoqiàn,гл.,извиняться,"非常~,让您等了这么久。"
614,倍,bèi,сч. сл.,в два раза больше,我们学校的留学生比去年多了一~。
615,本来,běnlái,нар.,изначально,"我~要去看演出,但是突然有事儿不能去了。"
616,笨,bèn,прил.,"тупой, неуклюжий","你并不~,只是需要更努力。"
617,比如,bǐrú,гл.,например,"我有很多爱好,~游泳和读书。"
618,毕业,bìyè,гл.,закончить (учебное заедение),"我今年上大三,明年~。"
619,遍,biàn,сч. сл.,раз (при счете),"这篇文章,我读了很多~。"
620,标准,biāozhǔn,сущ.,"стандарт, норматив",你选男友的~太高了。
"",,прил.,стандартный,你的普通话说得很~。,
621,表格,biǎogé,сущ.,"бланк, анкета",请在~里填上您的姓名。
622,表示,biǎoshì,гл.,выразить,他~愿意继续在公司工作。
623,表演,biǎoyǎn,гл.,выступать,你们要~什么节目?
сущ.,представление,今天的~太精彩了!,,,
624,表扬,biǎoyáng,гл.,хвалить,"小明喜欢帮助别人,老师~了他。"
"",,,сущ.,похвала,他经常得到校长的~。
625,饼干,bǐnggān,сущ.,печенье,"我买了~,吃点儿吧。"
626,并且,bìngqiě,союз,кроме того... еще и,"她很聪明,~很努力。"
627,博士,bóshì,сущ.,доктор (научная степень),"我来介绍一下,这位是李~。"
628,不过,búguò,союз,но,"他很优秀,~不符合公司的招聘条件。"
629,不得不,bùdébù,,вынужден,"任务还没完成,所以周末我们~加班。"
630,不管,bùguǎn,союз,"какой бы ни был, в любом случае","~天怎么样,我都要爬山。"
631,不好意思,bùhǎoyìsi,,испытывать неловкость,"大家都看着他,他有点儿~了。"
632,不仅,bùjǐn,союз,не только,"我~去过那个城市,而且去过很多次。"
633,部分,bùfen,сущ.,часть,这本小说由四~组成。
634,擦,cā,гл.,протирать,我已经把窗户~干净了。
635,猜,cāi,гл.,угадывать,你~我给你准备了什么生日礼物?
636,材料,cáiliào,сущ.,материалы (письменные),报名需要什么~?
637,参观,cānguān,гл.,посещать,学校组织大家去长城~。
638,餐厅,cāntīng,сущ.,ресторан,学校附近新开了一家~。
639,厕所,cèsuǒ,сущ.,туалет,男~在一层。
640,差不多,chàbuduō,нар.,приблизительно,我每天~7 点起床。
641,长城,Chángchéng,сущ.,Великая Китайская стена,我想周末去参观~。
642,长江,Cháng jiāng,сущ.,Янцзы,~是中国的第一大河。
643,尝,cháng,гл.,пробовать на вкус,"快来~~我做的菜,味道怎么样?"
644,场,chǎng,сч. сл.,употребляется при счете мероприятий,今年下午有~足球比赛。
645,超过,chāoguò,гл.,превосходить,每天有~三百个航班在这里起飞。
646,吵,chǎo,прил.,шумный,"外面太~了,我睡不着。"
"",,гл.,ссориться,"他和朋友~了,所以很不高兴。",
647,成功,chénggōng,гл.,добиваться успеха,"太好了,我们终于~了。"
"",,сущ.,успех,"经过努力,我们取得了~。",
648,成为,chéngwéi,гл.,становиться кем-либо,"几年不见,她现在已经~了一名医生。"
649,诚实,chéngshí,прил.,искренний,~的人值得我们尊重。
650,乘坐,chéngzuò,гл.,ехать (на каком-либо виде транспорта),欢迎您~本次航班。
651,吃惊,chījīng,гл.,внезапно испугаться или удивиться,这个消息非常令人~。
652,重新,chóngxīn,нар.,"заново, еще один раз",他把事情~说了一遍。
653,抽烟,chōuyān,,курить,"对不起,医院里不能~。"
654,出差,chūchāi,гл.,уезжать в командировку,爸爸已经~一个多月了。
655,出发,chūfā,гл.,отправляться,我从北京~去上海。
656,出生,chūshēng,гл.,рождаться,女儿是 1990 年~的。
657,厨房,chúfáng,сущ.,кухня,我正在~里做饭呢。
658,传真,chuánzhēn,сущ.,факс,请帮我发一份~。
659,窗户,chuānghu,сущ.,окно,她坐在~旁边安静地看书。
660,词语,cíyǔ,сущ.,слова или фразы,请把你们不认识的~都找出来。
661,从来,cónglái,нар.,"изначально, никогда",我~没见过他。
662,粗心,cūxīn,прил.,невнимательный,你真是太~了。
663,存,cún,гл.,хранить,我把钱~进了银行。
664,错误,cuòwù,прил.,ошибочный,我觉得这种说法是~的。
"",,,сущ.,ошибка,谢谢你指出了我的~。
665,答案,dá’àn,сущ.,ответ,我不知道这道题的~。
666,打扮,dǎban,гл.,наряжаться,她简单~了一下就出门了。
667,打扰,dǎrǎo,гл.,мешать,"对不起,~一下,王教授在吗?"
668,打印,dǎyìn,гл.,распечатывать,这些材料已经~完了。
669,打招呼,dǎzhāohu,,здороваться,他笑着和我~。
670,打折,dǎzhé,гл.,скидка,"春节前,商场都在~。"
671,打针,dǎzhēn,гл.,ставить укол,儿子非常害怕~。
672,大概,dàgài,нар.,наверное,他~不会来了。
673,大使馆,dàshǐguǎn,сущ.,посольство,我明天要去~办签证。
674,大约,dàyuē,нар.,приблизительно,他~有三十多岁。
675,大夫,dàifu,сущ.,врач,"李~,您明天上午在医院吗?"
676,戴,dài,гл.,"носить, одевать","外边风大,~上帽子吧。"
678,当时,dāngshí,сущ.,в то время,我记不清楚~的情况了。
679,刀,dāo,сущ.,нож,水果~在厨房里。
680,导游,dǎoyóu,сущ.,гид,我的姐姐是一名~。
681,倒,dǎo,гл.,падать,大风把树刮~了。
682,到处,dàochù,нар.,повсюду,公园里~都是鲜花。
683,到底,dàodǐ,нар.,в конце концов,这句话~是什么意思?
684,道歉,dàoqiàn,гл.,извиняться,我已经向他~了。
685,得意,déyì,прил.,"быть довольным, удовлетворенным","工作取得了成功,大家都很~。"
686,得,de,служ.,показатель постпозитивного обстоятельства,你走~太快了。
"",,гл.,получать,"这次考试,我~了 100 分。",
687,登机牌,dēngjīpái,сущ.,посадочный талон,"请您拿好~,准备登机。"
688,等,děng,служ.,и так далее,"这个学期我选了很多课,有艺术、历史、经济~"
689,低,dī,прил.,низкий,这颗树比房子~。
"",,гл.,опускать,你怎么了?不高兴了?为什么~着头?,
690,底,dǐ,сущ.,в конце (о времени),年~公司会给大家发奖金。
691,地点,dìdiǎn,сущ.,место,开会的~在三楼会议室。
692,地球,dìqiú,сущ.,Земной шар,~上 70%的面积是海洋。
693,地址,dìzhǐ,сущ.,адрес,请把您的~写下来。
694,调查,diàochá,гл.,расследовать,警察正在进行~。
"",,сущ.,расследование,我刚做了一个顾客满意度~。,
695,掉,diào,гл.,падать,我把钥匙~在了地上。
696,丢,diū,гл.,терять,你的书包~了?
697,动作,dòngzuò,сущ.,движение,"我教你跳舞吧,~很简单。"
698,堵车,dǔchē,гл.,(транспортная) пробка,"我在路上,又~了。"
699,肚子,dùzi,сущ.,живот,我~疼。
700,短信,duǎnxìn,сущ.,сообщение,有事儿请给我发~或者打电话。
